ensembl_gene_id	wikigene_description	hgnc_symbol
ENSG00000143224	protoporphyrinogen oxidase	PPOX
ENSG00000143226	Fc fragment of IgG receptor IIa	FCGR2A
ENSG00000143226	Fc fragment of IgG receptor IIc (gene/pseudogene)	FCGR2A
ENSG00000143228	NUF2 component of NDC80 kinetochore complex	NUF2
ENSG00000143248	regulator of G protein signaling 5	RGS5
ENSG00000143252	succinate dehydrogenase complex subunit C	SDHC
ENSG00000143256	prefoldin subunit 2	PFDN2
ENSG00000143257	nuclear receptor subfamily 1 group I member 3	NR1I3
ENSG00000143258	ubiquitin specific peptidase 21	USP21
ENSG00000143278	coagulation factor XIII B chain	F13B
ENSG00000143294	proline rich mitotic checkpoint control factor	PRCC
ENSG00000143297	Fc receptor like 5	FCRL5
ENSG00000143303	ribosomal RNA adenine dimethylase domain containing 1	RRNAD1
ENSG00000143314	mitochondrial ribosomal protein L24	MRPL24
ENSG00000143315	phosphatidylinositol glycan anchor biosynthesis class M	PIGM
ENSG00000143318	calsequestrin 1	CASQ1
ENSG00000143319	interferon stimulated exonuclease gene 20 like 2	ISG20L2
ENSG00000143320	cellular retinoic acid binding protein 2	CRABP2
ENSG00000143321	heparin binding growth factor	HDGF
ENSG00000143322	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2
ENSG00000143324	xenotropic and polytropic retrovirus receptor 1	XPR1
ENSG00000143333	regulator of G protein signaling 16	RGS16
ENSG00000143337	torsin 1A interacting protein 1	TOR1AIP1
ENSG00000143340	family with sequence similarity 163 member A	FAM163A
ENSG00000143341	hemicentin 1	HMCN1
ENSG00000143344	ral guanine nucleotide dissociation stimulator like 1	RGL1
ENSG00000143353	lysophospholipase like 1	LYPLAL1
ENSG00000143355	LIM homeobox 9	LHX9
ENSG00000143363	prune exopolyphosphatase 1	PRUNE1
ENSG00000143365	RAR related orphan receptor C	RORC
ENSG00000143367	tuftelin 1	TUFT1
ENSG00000143368	splicing factor 3b subunit 4	SF3B4
ENSG00000143369	extracellular matrix protein 1	ECM1
ENSG00000143373	zinc finger protein 687	ZNF687
ENSG00000143374	threonyl-tRNA synthetase 2, mitochondrial	TARS2
ENSG00000143375	cingulin	CGN
ENSG00000143376	sorting nexin 27	SNX27
ENSG00000143379	SET domain bifurcated histone lysine methyltransferase 1	SETDB1
ENSG00000143382	ADAMTS like 4	ADAMTSL4
ENSG00000143384	MCL1 apoptosis regulator, BCL2 family member	MCL1
ENSG00000143387	cathepsin K	CTSK
ENSG00000143390	regulatory factor X5	RFX5
ENSG00000143393	phosphatidylinositol 4-kinase beta	PI4KB
ENSG00000143398	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	PIP5K1A
ENSG00000143401	acidic nuclear phosphoprotein 32 family member E	ANP32E
ENSG00000143409	MINDY lysine 48 deubiquitinase 1	MINDY1
ENSG00000143412	annexin A9	ANXA9
ENSG00000143416	selenium binding protein 1	SELENBP1
ENSG00000143418	ceramide synthase 2	CERS2
ENSG00000143420	endosulfine alpha	ENSA
ENSG00000143429		LSP1P4
ENSG00000143434	semaphorin 6C	SEMA6C
ENSG00000143436	mitochondrial ribosomal protein L9	MRPL9
ENSG00000143437	aryl hydrocarbon receptor nuclear translocator	ARNT
ENSG00000143442	pogo transposable element derived with ZNF domain	POGZ
ENSG00000143443	chromosome 1 open reading frame 56	C1orf56
ENSG00000143450	ornithine decarboxylase antizyme 3	OAZ3
ENSG00000143452	HORMA domain containing 1	HORMAD1
ENSG00000143457	golgi phosphoprotein 3 like	GOLPH3L
ENSG00000143458	GA binding protein transcription factor subunit beta 2	GABPB2
ENSG00000143469	synaptotagmin 14	SYT14
ENSG00000143473	potassium voltage-gated channel subfamily H member 1	KCNH1
ENSG00000143476	denticleless E3 ubiquitin protein ligase homolog	DTL
ENSG00000143479	dual specificity tyrosine phosphorylation regulated kinase 3	DYRK3
ENSG00000143486	eukaryotic translation initiation factor 2D	EIF2D
ENSG00000143493	integrator complex subunit 7	INTS7
ENSG00000143494	vasohibin 2	VASH2
ENSG00000143498	TATA-box binding protein associated factor, RNA polymerase I subunit A	TAF1A
ENSG00000143499	SET and MYND domain containing 2	SMYD2
ENSG00000143502	sushi domain containing 4	SUSD4
ENSG00000143507	dual specificity phosphatase 10	DUSP10
ENSG00000143512	HHIP like 2	HHIPL2
ENSG00000143514	tumor protein p53 binding protein 2	TP53BP2
ENSG00000143515	ATPase phospholipid transporting 8B2	ATP8B2
ENSG00000143520	filaggrin family member 2	FLG2
ENSG00000143536	cornulin	CRNN
ENSG00000143537	ADAM metallopeptidase domain 15	ADAM15
ENSG00000143543	jumping translocation breakpoint	JTB
ENSG00000143545	RAB13, member RAS oncogene family	RAB13
ENSG00000143546	S100 calcium binding protein A8	S100A8
ENSG00000143549	tropomyosin 3	TPM3
ENSG00000143552	nucleoporin 210 like	NUP210L
ENSG00000143553	SNAP associated protein	SNAPIN
ENSG00000143554	solute carrier family 27 member 3	SLC27A3
ENSG00000143556	S100 calcium binding protein A7	S100A7
ENSG00000143569	ubiquitin associated protein 2 like	UBAP2L
ENSG00000143570	solute carrier family 39 member 1	SLC39A1
ENSG00000143575	HCLS1 associated protein X-1	HAX1
ENSG00000143578	cAMP responsive element binding protein 3 like 4	CREB3L4
ENSG00000143590	ephrin A3	EFNA3
ENSG00000143595	aquaporin 10	AQP10
ENSG00000143603	potassium calcium-activated channel subfamily N member 3	KCNN3
ENSG00000143612	chromosome 1 open reading frame 43	C1orf43
ENSG00000143614	GATA zinc finger domain containing 2B	GATAD2B
ENSG00000143621	interleukin enhancer binding factor 2	ILF2
ENSG00000143622	Ras like without CAAX 1	RIT1
ENSG00000143624	integrator complex subunit 3	INTS3
ENSG00000143627	pyruvate kinase L/R	PKLR
ENSG00000143630	hyperpolarization activated cyclic nucleotide gated potassium channel 3	HCN3
ENSG00000143631	filaggrin	FLG
ENSG00000143632	actin alpha 1, skeletal muscle	ACTA1
ENSG00000143633	chromosome 1 open reading frame 131	C1orf131
ENSG00000143641	polypeptide N-acetylgalactosaminyltransferase 2	GALNT2
ENSG00000143643	tetratricopeptide repeat domain 13	TTC13
ENSG00000143653	saccharopine dehydrogenase (putative)	SCCPDH
ENSG00000143669	lysosomal trafficking regulator	LYST
ENSG00000143674	mitogen-activated protein kinase kinase kinase 21	MAP3K21
ENSG00000143702	centrosomal protein 170	CEP170
ENSG00000143702	centrosomal protein 170 pseudogene 1	CEP170
ENSG00000143727	acid phosphatase 1	ACP1
ENSG00000143740	synaptosome associated protein 47	SNAP47
ENSG00000143742	signal recognition particle 9	SRP9
ENSG00000143748	nuclear VCP like	NVL
ENSG00000143751	SDE2 telomere maintenance homolog	SDE2
ENSG00000143753	delta 4-desaturase, sphingolipid 1	DEGS1
ENSG00000143756	F-box protein 28	FBXO28
ENSG00000143761	ADP ribosylation factor 1	ARF1
ENSG00000143768	left-right determination factor 2	LEFTY2
ENSG00000143771	cornichon family AMPA receptor auxiliary protein 4	CNIH4
ENSG00000143772	inositol-trisphosphate 3-kinase B	ITPKB
ENSG00000143774	guanylate kinase 1	GUK1
ENSG00000143776	CDC42 binding protein kinase alpha	CDC42BPA
ENSG00000143786	cornichon family AMPA receptor auxiliary protein 3	CNIH3
ENSG00000143793	chromosome 1 open reading frame 35	C1orf35
ENSG00000143797	membrane bound O-acyltransferase domain containing 2	MBOAT2
ENSG00000143799	poly(ADP-ribose) polymerase 1	PARP1
ENSG00000143801	presenilin 2	PSEN2
ENSG00000143811	pyrroline-5-carboxylate reductase 2	PYCR2
ENSG00000143815	lamin B receptor	LBR
ENSG00000143816	Wnt family member 9A	WNT9A
ENSG00000143819	epoxide hydrolase 1	EPHX1
ENSG00000143839	renin	REN
ENSG00000143842	SRY-box transcription factor 13	SOX13
ENSG00000143845	ethanolamine kinase 2	ETNK2
ENSG00000143847	PTPRF interacting protein alpha 4	PPFIA4
ENSG00000143850	pleckstrin homology domain containing A6	PLEKHA6
ENSG00000143851	protein tyrosine phosphatase non-receptor type 7	PTPN7
ENSG00000143858	synaptotagmin 2	SYT2
ENSG00000143862	ADP ribosylation factor like GTPase 8A	ARL8A
ENSG00000143867	odd-skipped related transcription factor 1	OSR1
ENSG00000143869	growth differentiation factor 7	GDF7
ENSG00000143870	protein disulfide isomerase family A member 6	PDIA6
ENSG00000143878	ras homolog family member B	RHOB
ENSG00000143882	ATPase H+ transporting V1 subunit C2	ATP6V1C2
ENSG00000143889	heterogeneous nuclear ribonucleoprotein L like	HNRNPLL
ENSG00000143891	galactose mutarotase	GALM
ENSG00000143919	calmodulin-lysine N-methyltransferase	CAMKMT
ENSG00000143921	ATP binding cassette subfamily G member 8	ABCG8
ENSG00000143924	EMAP like 4	EML4
ENSG00000143933	calmodulin 2	CALM2
ENSG00000143942	ChaC cation transport regulator homolog 2	CHAC2
ENSG00000143947	ribosomal protein S27a	RPS27A
ENSG00000143951	WD repeat containing planar cell polarity effector	WDPCP
ENSG00000143952	VPS54 subunit of GARP complex	VPS54
ENSG00000143954	regenerating family member 3 gamma	REG3G
ENSG00000143970	ASXL transcriptional regulator 2	ASXL2
ENSG00000143971	ETAA1 activator of ATR kinase	ETAA1
ENSG00000143977	small nuclear ribonucleoprotein polypeptide G	SNRPG
ENSG00000143994	abhydrolase domain containing 1	ABHD1
ENSG00000143995	Meis homeobox 1	MEIS1
ENSG00000144010	tripartite motif containing 43B	TRIM43B
ENSG00000144015	tripartite motif containing 43	TRIM43
ENSG00000144021	cytosolic iron-sulfur assembly component 1	CIAO1
ENSG00000144026	zinc finger protein 514	ZNF514
ENSG00000144028	small nuclear ribonucleoprotein U5 subunit 200	SNRNP200
ENSG00000144029	mitochondrial ribosomal protein S5	MRPS5
ENSG00000144031	ankyrin repeat domain 53	ANKRD53
ENSG00000144034	TP53RK binding protein	TPRKB
ENSG00000144035	N-acetyltransferase 8 (putative)	NAT8
ENSG00000144036	exocyst complex component 6B	EXOC6B
ENSG00000144040	sideroflexin 5	SFXN5
ENSG00000144043	testis expressed 261	TEX261
ENSG00000144045	DEAQ-box RNA dependent ATPase 1	DQX1
ENSG00000144048	dual specificity phosphatase 11	DUSP11
ENSG00000144057	ST6 beta-galactoside alpha-2,6-sialyltransferase 2	ST6GAL2
ENSG00000144061	nephrocystin 1	NPHP1
ENSG00000144063	mal, T cell differentiation protein like	MALL
ENSG00000144115	threonine synthase like 2	THNSL2
ENSG00000144118	RAS like proto-oncogene B	RALB
ENSG00000144119	complement C1q like 2	C1QL2
ENSG00000144120	transmembrane protein 177	TMEM177
ENSG00000144130	5'-nucleotidase domain containing 4	NT5DC4
ENSG00000144134	RAB, member of RAS oncogene family like 2A	RABL2A
ENSG00000144136	solute carrier family 20 member 1	SLC20A1
ENSG00000144152	fibulin 7	FBLN7
ENSG00000144158		
ENSG00000144161	zinc finger CCCH-type containing 8	ZC3H8
ENSG00000144182	lipoyltransferase 1	LIPT1
ENSG00000144188		TRIM43CP
ENSG00000144191	cyclic nucleotide gated channel subunit alpha 3	CNGA3
ENSG00000144199	fumarylacetoacetate hydrolase domain containing 2B	FAHD2B
ENSG00000144214	lysozyme g1	LYG1
ENSG00000144218	AF4/FMR2 family member 3	AFF3
ENSG00000144224	UBX domain protein 4	UBXN4
ENSG00000144227	neurexophilin 2	NXPH2
ENSG00000144228	speckle type BTB/POZ protein like	SPOPL
ENSG00000144229	thrombospondin type 1 domain containing 7B	THSD7B
ENSG00000144230	G protein-coupled receptor 17	GPR17
ENSG00000144231	RNA polymerase II subunit D	POLR2D
ENSG00000144233	AMMECR1 like	AMMECR1L
ENSG00000144278	polypeptide N-acetylgalactosaminyltransferase 13	GALNT13
ENSG00000144283	plakophilin 4	PKP4
ENSG00000144285	sodium voltage-gated channel alpha subunit 1	SCN1A
ENSG00000144290	solute carrier family 4 member 10	SLC4A10
ENSG00000144306	secernin 3	SCRN3
ENSG00000144320	lunapark, ER junction formation factor	LNPK
ENSG00000144331	zinc finger protein 385B	ZNF385B
ENSG00000144339	transmembrane protein with EGF like and two follistatin like domains 2	TMEFF2
ENSG00000144354	cell division cycle associated 7	CDCA7
ENSG00000144355	distal-less homeobox 1	DLX1
ENSG00000144357	ubiquitin protein ligase E3 component n-recognin 3	UBR3
ENSG00000144362	phosphatase, orphan 2	PHOSPHO2
ENSG00000144366	GULP PTB domain containing engulfment adaptor 1	GULP1
ENSG00000144369	family with sequence similarity 171 member B	FAM171B
ENSG00000144381	heat shock protein family D (Hsp60) member 1	HSPD1
ENSG00000144395	coiled-coil domain containing 150	CCDC150
ENSG00000144401	methyltransferase like 21A	METTL21A
ENSG00000144406	unc-80 homolog, NALCN channel complex subunit	UNC80
ENSG00000144407	parathyroid hormone 2 receptor	PTH2R
ENSG00000144410	carboxypeptidase O	CPO
ENSG00000144426	neurobeachin like 1	NBEAL1
ENSG00000144445	KAT8 regulatory NSL complex subunit 1 like	KANSL1L
ENSG00000144451	sperm associated antigen 16	SPAG16
ENSG00000144452	ATP binding cassette subfamily A member 12	ABCA12
ENSG00000144455	sulfatase modifying factor 1	SUMF1
ENSG00000144460	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	NYAP2
ENSG00000144468	rhomboid domain containing 1	RHBDD1
ENSG00000144476	atypical chemokine receptor 3	ACKR3
ENSG00000144481	transient receptor potential cation channel subfamily M member 8	TRPM8
ENSG00000144485	hes family bHLH transcription factor 6	HES6
ENSG00000144488	espin like	ESPNL
ENSG00000144504	ankyrin repeat and MYND domain containing 1	ANKMY1
ENSG00000144524	COP9 signalosome subunit 7B	COPS7B
ENSG00000144535	DIS3 like 3'-5' exoribonuclease 2	DIS3L2
ENSG00000144550	copine family member 9	CPNE9
ENSG00000144554	FA complementation group D2	FANCD2
ENSG00000144559	TAM41 mitochondrial translocator assembly and maintenance homolog	TAMM41
ENSG00000144560	vestigial like family member 4	VGLL4
ENSG00000144566	RAB5A, member RAS oncogene family	RAB5A
ENSG00000144567	reticulophagy regulator family member 2	RETREG2
ENSG00000144579	CTD small phosphatase 1	CTDSP1
ENSG00000144580	CCR4-NOT transcription complex subunit 9	CNOT9
ENSG00000144583	membrane associated ring-CH-type finger 4	MARCH4
ENSG00000144589	serine/threonine kinase 11 interacting protein	STK11IP
ENSG00000144591	GDP-mannose pyrophosphorylase A	GMPPA
ENSG00000144596	glutamate receptor interacting protein 2	GRIP2
ENSG00000144597	ELL associated factor 1	EAF1
ENSG00000144619	contactin 4	CNTN4
ENSG00000144635	dynein cytoplasmic 1 light intermediate chain 1	DYNC1LI1
ENSG00000144642	RNA binding motif single stranded interacting protein 3	RBMS3
ENSG00000144644	glutamate decarboxylase like 1	GADL1
ENSG00000144645	oxysterol binding protein like 10	OSBPL10
ENSG00000144647	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)	POMGNT2
ENSG00000144648	atypical chemokine receptor 2	ACKR2
ENSG00000144649	golgi associated kinase 1A	GASK1A
ENSG00000144655	cysteine and serine rich nuclear protein 1	CSRNP1
ENSG00000144659	solute carrier family 25 member 38	SLC25A38
ENSG00000144668	integrin subunit alpha 9	ITGA9
ENSG00000144671	solute carrier family 22 member 14	SLC22A14
ENSG00000144674	golgin A4	GOLGA4
ENSG00000144677	CTD small phosphatase like	CTDSPL
ENSG00000144681	SH3 and cysteine rich domain	STAC
ENSG00000144711	IQ motif and Sec7 domain 1	IQSEC1
ENSG00000144712	cullin associated and neddylation dissociated 2 (putative)	CAND2
ENSG00000144713	ribosomal protein L32	RPL32
ENSG00000144724	protein tyrosine phosphatase receptor type G	PTPRG
ENSG00000144730	interleukin 17 receptor D	IL17RD
ENSG00000144736	SHQ1, H/ACA ribonucleoprotein assembly factor	SHQ1
ENSG00000144741	solute carrier family 25 member 26	SLC25A26
ENSG00000144744	ubiquitin like modifier activating enzyme 3	UBA3
ENSG00000144746	ADP ribosylation factor like GTPase 6 interacting protein 5	ARL6IP5
ENSG00000144747	TATA element modulatory factor 1	TMF1
ENSG00000144749	leucine rich repeats and immunoglobulin like domains 1	LRIG1
ENSG00000144771	leucine rich repeats and transmembrane domains 1	LRTM1
ENSG00000144785		
ENSG00000144791	LIM domains containing 1	LIMD1
ENSG00000144792	zinc finger protein 660	ZNF660
ENSG00000144802	NFKB inhibitor zeta	NFKBIZ
ENSG00000144810	collagen type VIII alpha 1 chain	COL8A1
ENSG00000144815	neurexophilin and PC-esterase domain family member 3	NXPE3
ENSG00000144820	adhesion G protein-coupled receptor G7	ADGRG7
ENSG00000144821	myosin heavy chain 15	MYH15
ENSG00000144824	pleckstrin homology like domain family B member 2	PHLDB2
ENSG00000144827	abhydrolase domain containing 10	ABHD10
ENSG00000144834	transgelin 3	TAGLN3
ENSG00000144837	phospholipase A1 member A	PLA1A
ENSG00000144840	RAB, member of RAS oncogene family like 3	RABL3
ENSG00000144843	ADP-ribosylarginine hydrolase	ADPRH
ENSG00000144847	immunoglobulin superfamily member 11	IGSF11
ENSG00000144848	autophagy related 3	ATG3
ENSG00000144852	nuclear receptor subfamily 1 group I member 2	NR1I2
ENSG00000144857	BOC cell adhesion associated, oncogene regulated	BOC
ENSG00000144867	SRP receptor subunit beta	SRPRB
ENSG00000144868	transmembrane protein 108	TMEM108
ENSG00000144891	angiotensin II receptor type 1	AGTR1
ENSG00000144893	mediator complex subunit 12L	MED12L
ENSG00000144895	eukaryotic translation initiation factor 2A	EIF2A
ENSG00000144908	aldehyde dehydrogenase 1 family member L1	ALDH1L1
ENSG00000144909	oxysterol binding protein like 11	OSBPL11
ENSG00000144935	transient receptor potential cation channel subfamily C member 1	TRPC1
ENSG00000144959	neutral cholesterol ester hydrolase 1	NCEH1
ENSG00000144962	spermatogenesis associated 16	SPATA16
ENSG00000145002	family with sequence similarity 86 member B2	FAM86B2
ENSG00000145012	LIM domain containing preferred translocation partner in lipoma	LPP
ENSG00000145014	transmembrane protein 44	TMEM44
ENSG00000145016	rubicon autophagy regulator	RUBCN
ENSG00000145020	aminomethyltransferase	AMT
ENSG00000145022	T cell leukemia translocation altered	TCTA
ENSG00000145029	nicolin 1	NICN1
ENSG00000145040	urocortin 2	UCN2
ENSG00000145041	DDB1 and CUL4 associated factor 1	DCAF1
ENSG00000145050	mesencephalic astrocyte derived neurotrophic factor	MANF
ENSG00000145063		
ENSG00000145075		CCDC39
ENSG00000145087	syntaxin binding protein 5 like	STXBP5L
ENSG00000145088	ELL associated factor 2	EAF2
ENSG00000145103	immunoglobulin like domain containing receptor 1	ILDR1
ENSG00000145107	transmembrane 4 L six family member 19	TM4SF19
ENSG00000145113	mucin 4, cell surface associated	MUC4
ENSG00000145147	slit guidance ligand 2	SLIT2
ENSG00000145191	eukaryotic translation initiation factor 2B subunit epsilon	EIF2B5
ENSG00000145192	alpha 2-HS glycoprotein	AHSG
ENSG00000145194	endothelin converting enzyme 2	ECE2
ENSG00000145198	von Willebrand factor A domain containing 5B2	VWA5B2
ENSG00000145214	diacylglycerol kinase theta	DGKQ
ENSG00000145216	factor interacting with PAPOLA and CPSF1	FIP1L1
ENSG00000145217	solute carrier family 26 member 1	SLC26A1
ENSG00000145220	Ly1 antibody reactive	LYAR
ENSG00000145241	centromere protein C	CENPC
ENSG00000145242	EPH receptor A5	EPHA5
ENSG00000145244	corin, serine peptidase	CORIN
ENSG00000145246	ATPase phospholipid transporting 10D (putative)	ATP10D
ENSG00000145247	OCIA domain containing 2	OCIAD2
ENSG00000145248	solute carrier family 10 member 4	SLC10A4
ENSG00000145283	solute carrier family 10 member 6	SLC10A6
ENSG00000145284	stearoyl-CoA desaturase 5	SCD5
ENSG00000145287	placenta associated 8	PLAC8
ENSG00000145293	enolase-phosphatase 1	ENOPH1
ENSG00000145309	calcium binding protein, spermatid associated 1	CABS1
ENSG00000145321	GC vitamin D binding protein	GC
ENSG00000145331	tRNA methyltransferase 10A	TRMT10A
ENSG00000145332	kelch like family member 8	KLHL8
ENSG00000145335	synuclein alpha	SNCA
ENSG00000145337	PIGY upstream reading frame	PYURF
ENSG00000145348	TBC1 domain containing kinase	TBCK
ENSG00000145349	calcium/calmodulin dependent protein kinase II delta	CAMK2D
ENSG00000145354	CDGSH iron sulfur domain 2	CISD2
ENSG00000145358	DNA damage inducible transcript 4 like	DDIT4L
ENSG00000145362	ankyrin 2	ANK2
ENSG00000145365	TRAF interacting protein with forkhead associated domain	TIFA
ENSG00000145375	spermatogenesis associated 5	SPATA5
ENSG00000145384	fatty acid binding protein 2	FABP2
ENSG00000145386	cyclin A2	CCNA2
ENSG00000145388	methyltransferase like 14	METTL14
ENSG00000145390	ubiquitin specific peptidase 53	USP53
ENSG00000145391	SET domain containing 7, histone lysine methyltransferase	SETD7
ENSG00000145414	nuclear assembly factor 1 ribonucleoprotein	NAF1
ENSG00000145416	membrane associated ring-CH-type finger 1	MARCH1
ENSG00000145423	secreted frizzled related protein 2	SFRP2
ENSG00000145425	ribosomal protein S3A	RPS3A
ENSG00000145428	ring finger protein 175	RNF175
ENSG00000145431	platelet derived growth factor C	PDGFC
ENSG00000145439	carbonyl reductase 4	CBR4
ENSG00000145451	glycine receptor alpha 3	GLRA3
ENSG00000145476	cytochrome P450 family 4 subfamily V member 2	CYP4V2
ENSG00000145491	rhophilin associated tail protein 1 like	ROPN1L
ENSG00000145494	NADH:ubiquinone oxidoreductase subunit S6	NDUFS6
ENSG00000145495	membrane associated ring-CH-type finger 6	MARCH6
ENSG00000145506	NKD inhibitor of WNT signaling pathway 2	NKD2
ENSG00000145526	cadherin 18	CDH18
ENSG00000145536	ADAM metallopeptidase with thrombospondin type 1 motif 16	ADAMTS16
ENSG00000145545	steroid 5 alpha-reductase 1	SRD5A1
ENSG00000145555	myosin X	MYO10
ENSG00000145569	OTU deubiquitinase with linear linkage specificity like	OTULINL
ENSG00000145592	ribosomal protein L37	RPL37
ENSG00000145604	S-phase kinase associated protein 2	SKP2
ENSG00000145623	oncostatin M receptor	OSMR
ENSG00000145626	UDP glycosyltransferase family 3 member A1	UGT3A1
ENSG00000145632	polo like kinase 2	PLK2
ENSG00000145642	shisa like 2B	SHISAL2B
ENSG00000145649	granzyme A	GZMA
ENSG00000145675	phosphoinositide-3-kinase regulatory subunit 1	PIK3R1
ENSG00000145681	hyaluronan and proteoglycan link protein 1	HAPLN1
ENSG00000145685	LHFPL tetraspan subfamily member 2	LHFPL2
ENSG00000145687	single stranded DNA binding protein 2	SSBP2
ENSG00000145692	betaine--homocysteine S-methyltransferase	BHMT
ENSG00000145700	ankyrin repeat domain 31	ANKRD31
ENSG00000145703	IQ motif containing GTPase activating protein 2	IQGAP2
ENSG00000145708	corticotropin releasing hormone binding protein	CRHBP
ENSG00000145715	RAS p21 protein activator 1	RASA1
ENSG00000145721	limb and CNS expressed 1	LIX1
ENSG00000145723	gypsy retrotransposon integrase 1	GIN1
ENSG00000145725	diphosphoinositol pentakisphosphate kinase 2	PPIP5K2
ENSG00000145730	peptidylglycine alpha-amidating monooxygenase	PAM
ENSG00000145734	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	BDP1
ENSG00000145736	general transcription factor IIH subunit 2	GTF2H2
ENSG00000145736	GTF2H2 family member C	GTF2H2
ENSG00000145740	solute carrier family 30 member 5	SLC30A5
ENSG00000145741	basic transcription factor 3	BTF3
ENSG00000145743	F-box and leucine rich repeat protein 17	FBXL17
ENSG00000145757	spermatogenesis associated 9	SPATA9
ENSG00000145777	thymic stromal lymphopoietin	TSLP
ENSG00000145779	TNF alpha induced protein 8	TNFAIP8
ENSG00000145780	fem-1 homolog C	FEM1C
ENSG00000145781	COMM domain containing 10	COMMD10
ENSG00000145782	autophagy related 12	ATG12
ENSG00000145794	multiple EGF like domains 10	MEGF10
ENSG00000145808	ADAM metallopeptidase with thrombospondin type 1 motif 19	ADAMTS19
ENSG00000145817	Yip1 domain family member 5	YIPF5
ENSG00000145819	Rho GTPase activating protein 26	ARHGAP26
ENSG00000145824	C-X-C motif chemokine ligand 14	CXCL14
ENSG00000145826	leukocyte cell derived chemotaxin 2	LECT2
ENSG00000145832	solute carrier family 25 member 48	SLC25A48
ENSG00000145833	DEAD-box helicase 46	DDX46
ENSG00000145835		CDKN2AIPNLP2
ENSG00000145839	interleukin 9	IL9
ENSG00000145850	T cell immunoglobulin and mucin domain containing 4	TIMD4
ENSG00000145860	ring finger protein 145	RNF145
ENSG00000145861	C1q and TNF related 2	C1QTNF2
ENSG00000145863	gamma-aminobutyric acid type A receptor alpha6 subunit	GABRA6
ENSG00000145864	gamma-aminobutyric acid type A receptor beta2 subunit	GABRB2
ENSG00000145868	F-box protein 38	FBXO38
ENSG00000145879	serine peptidase inhibitor, Kazal type 7 (putative)	SPINK7
ENSG00000145882	prenylcysteine oxidase 1 like	PCYOX1L
ENSG00000145888	glycine receptor alpha 1	GLRA1
ENSG00000145901	TNFAIP3 interacting protein 1	TNIP1
ENSG00000145907	G3BP stress granule assembly factor 1	G3BP1
ENSG00000145908	zinc finger protein 300	ZNF300
ENSG00000145911	NEDD4 binding protein 3	N4BP3
ENSG00000145912	NHP2 ribonucleoprotein	NHP2
ENSG00000145916	required for meiotic nuclear division 5 homolog B	RMND5B
ENSG00000145919	biorientation of chromosomes in cell division 1	BOD1
ENSG00000145920	complexin 2	CPLX2
ENSG00000145934	teneurin transmembrane protein 2	TENM2
ENSG00000145936	potassium calcium-activated channel subfamily M regulatory beta subunit 1	KCNMB1
ENSG00000145945	family with sequence similarity 50 member B	FAM50B
ENSG00000145949	myosin light chain kinase family member 4	MYLK4
ENSG00000145975	family with sequence similarity 217 member A	FAM217A
ENSG00000145979	TBC1 domain family member 7	TBC1D7
ENSG00000145979	TBC1D7-LOC100130357 readthrough	TBC1D7
ENSG00000145982	phenylalanyl-tRNA synthetase 2, mitochondrial	FARS2
ENSG00000145990	glucose-fructose oxidoreductase domain containing 1	GFOD1
ENSG00000145996	CDK5 regulatory subunit associated protein 1 like 1	CDKAL1
ENSG00000146001		PCDHB18P
ENSG00000146005	pleckstrin and Sec7 domain containing 2	PSD2
ENSG00000146006	leucine rich repeat transmembrane neuronal 2	LRRTM2
ENSG00000146007	zinc finger matrin-type 2	ZMAT2
ENSG00000146013	GDNF family receptor alpha 3	GFRA3
ENSG00000146021	kelch like family member 3	KLHL3
ENSG00000146038	doublecortin domain containing 2	DCDC2
ENSG00000146039	solute carrier family 17 member 4	SLC17A4
ENSG00000146047	histone cluster 1 H2B family member a	HIST1H2BA
ENSG00000146049	kidney associated antigen 1	KAAG1
ENSG00000146054	tripartite motif containing 7	TRIM7
ENSG00000146063	tripartite motif containing 41	TRIM41
ENSG00000146066	HIG1 hypoxia inducible domain family member 2A	HIGD2A
ENSG00000146067	family with sequence similarity 193 member B	FAM193B
ENSG00000146070	phospholipase A2 group VII	PLA2G7
ENSG00000146072	TNF receptor superfamily member 21	TNFRSF21
ENSG00000146083	ring finger protein 44	RNF44
ENSG00000146085	methylmalonyl-CoA mutase	MMUT
ENSG00000146090	RasGEF domain family member 1C	RASGEF1C
ENSG00000146094	docking protein 3	DOK3
ENSG00000146109	activator of basal transcription 1	ABT1
ENSG00000146112	protein phosphatase 1 regulatory subunit 18	PPP1R18
ENSG00000146112	phostensin-like	PPP1R18
ENSG00000146122	dishevelled associated activator of morphogenesis 2	DAAM2
ENSG00000146143	DNA primase subunit 2	PRIM2
ENSG00000146147	muscular LMNA interacting protein	MLIP
ENSG00000146151	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	HMGCLL1
ENSG00000146166	lengsin, lens protein with glutamine synthetase domain	LGSN
ENSG00000146192	FYVE, RhoGEF and PH domain containing 2	FGD2
ENSG00000146197	signal peptide, CUB domain and EGF like domain containing 3	SCUBE3
ENSG00000146205	anoctamin 7	ANO7
ENSG00000146215	cysteine rich protein 3	CRIP3
